,Home_Win
2033,0
2034,1
2035,1
2036,0
2037,0
2038,1
2039,0
2040,0
2041,1
2042,1
2043,1
2044,1
2045,1
2046,1
2047,0
2048,1
2049,0
2050,1
2051,0
2052,0
2053,0
2054,0
2056,0
2057,1
2058,1
2059,1
2060,1
2061,0
2062,1
2063,0
2064,1
2065,0
2066,0
2067,0
2068,1
2069,0
2070,1
2071,1
2072,1
2073,1
2074,0
2075,1
2076,1
2077,1
2078,0
2079,1
2080,0
2081,0
2082,1
2083,1
2084,0
2085,1
2086,1
2087,1
2088,0
2089,1
2090,0
2091,0
2092,1
2093,0
2094,1
2095,0
2096,1
2097,0
2098,1
2099,1
2100,1
2101,0
2102,0
2103,1
2104,0
2105,1
2106,1
2107,0
2108,1
2109,1
2110,1
2111,1
2112,0
2114,1
2115,1
2116,1
2117,1
2118,0
2119,1
2120,1
2121,1
2122,0
2123,1
2124,0
2125,1
2126,1
2127,1
2128,0
2129,1
2130,0
2131,1
2132,0
2133,0
2134,1
2135,0
2137,0
2138,0
2139,1
2140,0
2141,1
2142,1
2143,1
2144,1
2145,1
2146,0
2147,1
2148,1
2149,1
2150,0
2151,1
2152,1
2153,0
2154,0
2155,1
2156,1
2157,1
2158,1
2159,0
2160,1
2161,1
2162,1
2163,0
2164,1
2165,0
2166,0
2167,1
2168,1
2169,0
2170,0
2171,1
2172,1
2173,0
2174,1
2175,1
2176,1
2177,1
2178,0
2179,1
2180,0
2181,1
2182,0
2183,1
2184,1
2185,1
2186,0
2187,0
2188,1
2189,1
2190,1
2191,1
2192,0
2193,1
2194,0
2195,0
2196,0
2197,1
2198,0
2199,1
2200,1
2201,0
2202,0
2204,1
2205,0
2206,0
2207,0
2208,1
2209,1
2210,0
2211,1
2212,1
2213,0
2214,0
2215,1
2216,1
2217,1
2218,1
2219,1
2220,0
2221,1
2222,0
2223,1
2224,0
2225,1
2226,1
2227,1
2228,0
2229,0
2230,1
2231,1
2232,1
2233,1
2234,1
2235,0
2236,1
2237,1
2238,1
2239,1
2240,1
2241,1
2242,1
2243,1
2244,1
2245,0
2246,1
2247,1
2248,0
2249,0
2250,0
2251,1
2252,1
2253,1
2254,1
2255,0
2256,0
2257,1
2258,1
2259,1
2260,1
2261,1
2262,1
2263,0
2264,1
